
           ,cov_engine,cov_engine.resumecoverage,28,c:\program files\microsoft visual foxpro 8\coverage.vct,2
   0.000057,cov_engine,cov_engine.resumecoverage,30,c:\program files\microsoft visual foxpro 8\coverage.vct,2
   0.000045,cov_engine,cov_engine.resumecoverage,31,c:\program files\microsoft visual foxpro 8\coverage.vct,2
   0.000034,cov_engine,cov_engine.resumecoverage,32,c:\program files\microsoft visual foxpro 8\coverage.vct,2
   0.000624,cov_engine,cov_engine.resumecoverage,38,c:\program files\microsoft visual foxpro 8\coverage.vct,2
   0.000052,cov_engine,cov_engine.resumecoverage,39,c:\program files\microsoft visual foxpro 8\coverage.vct,2
   0.000040,cov_engine,cov_engine.resumecoverage,40,c:\program files\microsoft visual foxpro 8\coverage.vct,2
   0.000045,cov_engine,cov_engine.unload,7,c:\program files\microsoft visual foxpro 8\coverage.vct,1
   0.000033,cov_engine,cov_engine.unload,11,c:\program files\microsoft visual foxpro 8\coverage.vct,1
